id,family,length,theta_global,delta_norm_pred,delta_theta_1,delta_theta_2,delta_theta_3,delta_theta_4
group_I_intron-IE1-Leo_sp-4.S516_p1,group_I_intron,352,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03432433679699898,0.022066684439778328,0.01717252843081951,0.019690345972776413,0.002935308963060379
group_I_intron-IE3-Pci.S1199-2,group_I_intron,388,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03595278784632683,0.0248489361256361,0.015794511884450912,0.020615555346012115,0.0008158553391695023
group_I_intron-IC1-Fsp.L798,group_I_intron,404,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.034807901829481125,0.02030561864376068,0.019313018769025803,0.02061687409877777,0.0011062100529670715
group_I_intron-IC1-Mle.S1506,group_I_intron,405,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.0349186472594738,0.020699210464954376,0.019048672169446945,0.0206650048494339,0.0009798966348171234
group_I_intron-IC1-Pst.L798,group_I_intron,412,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.034541767090559006,0.017676666378974915,0.021327638998627663,0.02059219405055046,0.0013275668025016785
group_I_intron-IE2-Tpa.S516-1,group_I_intron,442,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.0359535738825798,0.021702321246266365,0.01895919069647789,0.021484263241291046,-0.0008026212453842163
group_I_intron-IE-Lin.S1199-3_p1,group_I_intron,385,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.035716842859983444,0.0243996474891901,0.016064748167991638,0.020523034036159515,0.0010388363152742386
group_I_intron-IC1-Nsp.L1949,group_I_intron,409,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.034536708146333694,0.018171291798353195,0.020923247560858727,0.020566612482070923,0.0013492945581674576
group_I_intron-IC1-Pla.S943,group_I_intron,362,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03392037749290466,0.019848084077239037,0.01892777718603611,0.01973520591855049,0.002984382212162018
group_I_intron-IC3-Cpa.y.trnL-1_p1,group_I_intron,251,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.031981807202100754,0.013063235208392143,0.02189463935792446,0.017009686678647995,0.009136916138231754
group_I_intron-IC1-Mfr.S943-2,group_I_intron,436,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03494376316666603,0.015274872072041035,0.02345123514533043,0.02090713568031788,0.000822160392999649
group_I_intron-IE3-Xpo.S1199,group_I_intron,465,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03578052669763565,0.01269981823861599,0.02578345686197281,0.02131088823080063,0.00014171376824378967
group_I_intron-IC1-Cmi.S1046-1,group_I_intron,424,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03643616661429405,0.024325750768184662,0.016778938472270966,0.0213063545525074,-0.0005988422781229019
group_I_intron-IC1-Pfo.S943,group_I_intron,316,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03485582023859024,0.024949003010988235,0.014501993544399738,0.019166849553585052,0.0038470104336738586
group_I_intron-IE2-Sba.S516,group_I_intron,480,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03650776669383049,0.020358312875032425,0.020564191043376923,0.022157292813062668,-0.00212709978222847
group_I_intron-IC1-Ceh.S1506-56,group_I_intron,473,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03674343600869179,0.022003768011927605,0.01926945149898529,0.022132445126771927,-0.0021811593323946
group_I_intron-IE-Mto.S1199_p10,group_I_intron,392,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03557138890028,0.02368173375725746,0.016696561127901077,0.0206136591732502,0.0008951332420110703
group_I_intron-IC1-Mpl.L798-1,group_I_intron,434,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.034899383783340454,0.015203706920146942,0.023468181490898132,0.02086164988577366,0.000922124832868576
group_I_intron-IC1-Boc.S943-3,group_I_intron,385,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.034875161945819855,0.021976524963974953,0.017796590924263,0.020351197570562363,0.0015554744750261307
group_I_intron-IC1-Cli.S943-1,group_I_intron,410,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.035306740552186966,0.021798035129904747,0.01834811642765999,0.020844027400016785,0.0005336366593837738
group_I_intron-IE2-Pbr.S516,group_I_intron,409,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03518000990152359,0.021412620320916176,0.01860661990940571,0.02079647406935692,0.0006582066416740417
group_I_intron-IC1-Sgr.S943,group_I_intron,395,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03556321933865547,0.023504042997956276,0.016874434426426888,0.020661719143390656,0.0008058305829763412
group_I_intron-IC1-Msc.S788-2,group_I_intron,309,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03266054391860962,0.017037205398082733,0.02003796584904194,0.018464237451553345,0.0058306679129600525
group_I_intron-IC1-bas_sp.S943-3,group_I_intron,420,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.034886475652456284,0.018997279927134514,0.02051944099366665,0.020847603678703308,0.0007068309932947159
group_I_intron-IC1-Cho_sp-4.S1046,group_I_intron,431,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03613127022981644,0.023069260641932487,0.017795678228139877,0.021358786150813103,-0.0006277132779359818
group_I_intron-IC1-Kap.S156,group_I_intron,433,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.035335469990968704,0.019930288195610046,0.020073065534234047,0.021176621317863464,-4.324130713939667e-05
group_I_intron-IA3-Cni.cL2593,group_I_intron,320,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03294696286320686,0.012366874143481255,0.023562463000416756,0.01835544966161251,0.006360082887113094
group_I_intron-IC1-Mte.S516,group_I_intron,394,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03456874564290047,0.02011530101299286,0.01927945762872696,0.020401181653141975,0.0015707463026046753
group_I_intron-IE1-Min.S516-1_p1,group_I_intron,308,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03725159168243408,0.02972329407930374,0.010954068973660469,0.01934366673231125,0.0031682439148426056
group_I_intron-IC1-Asp-1.S891,group_I_intron,412,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03442254289984703,0.015650689601898193,0.02277563512325287,0.02044851891696453,0.0017595291137695312
group_I_intron-IC3-Ps_sp.b.trnL,group_I_intron,245,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03246920928359032,0.020393237471580505,0.016554027795791626,0.017408186569809914,0.00782844889909029
group_I_intron-IC1-Pbr.S943,group_I_intron,398,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03515656664967537,0.022094104439020157,0.017933012917637825,0.020622389391064644,0.0009792596101760864
group_I_intron-IC1-Co_sp-3.S943,group_I_intron,415,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.0363793708384037,0.024641746655106544,0.016400465741753578,0.02114678919315338,-0.00028465501964092255
group_I_intron-IC1-Acy.S943,group_I_intron,398,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03488149121403694,0.021107163280248642,0.01863839291036129,0.02055239863693714,0.001189686357975006
group_I_intron-IE1-Min.S516-1_p10,group_I_intron,308,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03725159168243408,0.02972329407930374,0.010954068973660469,0.01934366673231125,0.0031682439148426056
