index,id,split,regime,length,global_f1,oracle_f1,delta_f1,global_pairs,oracle_pairs,pair_symmetric_diff
26,bpRNA_RFAM_12186.st,train_inner,medium,73,0.43478260869565216,0.45454545454545453,0.01976284584980237,18,17,7
27,bpRNA_CRW_53595.st,train_inner,medium,73,0.4888888888888889,0.4782608695652174,-0.010628019323671467,23,24,1
28,bpRNA_RFAM_1165.st,train_inner,medium,73,0.8421052631578947,0.9523809523809523,0.11027568922305764,18,22,4
29,bpRNA_CRW_41296.st,train_heldout_component,medium,73,0.8181818181818182,0.8,-0.018181818181818188,22,23,1
31,bpRNA_RFAM_11463.st,train_heldout_component,medium,73,0.0,0.0,0.0,18,2,16
32,bpRNA_CRW_25354.st,train_heldout_component,medium,73,0.6341463414634146,0.9545454545454546,0.32039911308203994,19,22,13
33,bpRNA_RFAM_29018.st,train_heldout_component,medium,73,0.9285714285714286,0.9285714285714286,0.0,15,15,0
34,bpRNA_CRW_34955.st,train_heldout_component,medium,73,0.6666666666666666,0.6470588235294118,-0.019607843137254832,14,15,1
35,bpRNA_RFAM_5359.st,train_heldout_component,medium,73,0.0,0.0,0.0,6,5,1
37,bpRNA_RFAM_1564.st,validation,medium,73,0.35714285714285715,0.5641025641025641,0.20695970695970695,8,19,17
38,bpRNA_CRW_41546.st,validation,medium,73,0.6666666666666666,0.8372093023255814,0.1705426356589148,20,21,7
39,bpRNA_RFAM_23014.st,validation,medium,73,0.35714285714285715,0.2962962962962963,-0.06084656084656087,15,14,1
40,bpRNA_RFAM_1457.st,validation,medium,73,0.9743589743589743,1.0,0.02564102564102566,19,20,1
41,bpRNA_RFAM_27199.st,validation,medium,73,0.3076923076923077,0.6666666666666666,0.3589743589743589,11,1,10
42,bpRNA_RFAM_31929.st,validation,medium,73,0.0,0.0,0.0,9,10,1
44,bpRNA_RFAM_30279.st,validation,medium,73,0.5185185185185185,0.5185185185185185,0.0,16,16,0
45,bpRNA_RFAM_4686.st,train_inner,long,104,0.6666666666666666,0.5769230769230769,-0.08974358974358976,35,33,6
46,bpRNA_RFAM_13250.st,train_inner,long,104,0.9696969696969697,0.9393939393939394,-0.030303030303030276,33,33,2
47,bpRNA_RFAM_41522.st,train_inner,long,104,0.1875,0.35294117647058826,0.16544117647058826,7,9,4
49,bpRNA_RFAM_14397.st,train_inner,long,104,0.0,0.32432432432432434,0.32432432432432434,29,19,22
50,bpRNA_RFAM_34619.st,train_inner,long,135,0.36,0.36,0.0,37,37,0
51,bpRNA_RFAM_7832.st,train_inner,long,135,0.5573770491803278,0.5666666666666667,0.00928961748633883,40,39,1
52,bpRNA_RFAM_42644.st,train_inner,long,133,0.8307692307692308,0.8307692307692308,0.0,36,36,0
53,bpRNA_RFAM_13536.st,train_heldout_component,long,133,0.9014084507042254,0.9315068493150684,0.03009839861084307,37,39,2
54,bpRNA_RFAM_19054.st,train_heldout_component,long,135,0.6666666666666666,0.6764705882352942,0.009803921568627527,46,45,1
55,bpRNA_RFAM_6610.st,train_heldout_component,long,133,0.0,0.0,0.0,30,25,5
56,bpRNA_RFAM_12298.st,train_heldout_component,long,104,0.29411764705882354,0.4,0.10588235294117648,29,20,15
57,bpRNA_RFAM_40876.st,train_heldout_component,long,133,0.8787878787878788,0.8571428571428571,-0.02164502164502169,31,35,4
58,bpRNA_RFAM_30887.st,train_heldout_component,long,104,0.8709677419354839,0.8709677419354839,0.0,33,33,0
59,bpRNA_RFAM_42832.st,train_heldout_component,long,135,0.9382716049382716,0.9382716049382716,0.0,38,38,0
61,bpRNA_RFAM_8476.st,validation,long,133,0.8985507246376812,0.8985507246376812,0.0,37,37,0
62,bpRNA_RFAM_18791.st,validation,long,133,0.5538461538461539,0.5538461538461539,0.0,47,47,0
63,bpRNA_RFAM_12854.st,validation,long,135,0.20512820512820512,0.46153846153846156,0.25641025641025644,13,26,13
64,bpRNA_RFAM_17167.st,validation,long,135,0.8285714285714286,0.8,-0.02857142857142858,36,36,2
65,bpRNA_RFAM_12796.st,validation,long,133,0.5581395348837209,0.7692307692307693,0.21109123434704835,17,26,9
66,bpRNA_RFAM_11887.st,validation,long,133,0.2857142857142857,0.3333333333333333,0.047619047619047616,30,25,27
67,bpRNA_RFAM_2103.st,validation,long,104,0.4878048780487805,0.4878048780487805,0.0,22,22,2
68,bpRNA_RFAM_39992.st,validation,long,135,0.42857142857142855,0.2608695652173913,-0.16770186335403725,19,37,20
