id,component,pred_delta_theta,true_delta_theta,error,cos_similarity
group_I_intron-IE1-Leo_sp-4.S516_p1,1,0.02351709764163492,0.0216275,0.0018895976416349186,0.9897571510630861
group_I_intron-IE1-Leo_sp-4.S516_p1,2,0.015845461707333593,0.0175175,-0.0016720382926664057,0.9897571510630861
group_I_intron-IE1-Leo_sp-4.S516_p1,3,0.01944690985871459,0.01969625,-0.00024934014128540766,0.9897571510630861
group_I_intron-IE1-Leo_sp-4.S516_p1,4,0.0033521504483961908,0.002951250000000002,0.0004009004483961887,0.9897571510630861
group_I_intron-IE3-Pci.S1199-2,1,0.024109711667376202,0.025937319587628863,-0.0018276079202526607,0.9905322642541281
group_I_intron-IE3-Pci.S1199-2,2,0.01524999705180969,0.015107628865979385,0.00014236818583030462,0.9905322642541281
group_I_intron-IE3-Pci.S1199-2,3,0.019283961100889573,0.02080123711340206,-0.0015172760125124855,0.9905322642541281
group_I_intron-IE3-Pci.S1199-2,4,0.0036555840357234016,0.0003562886597938122,0.0032992953759295894,0.9905322642541281
group_I_intron-IC1-Fsp.L798,1,0.023684828709991407,0.01961267326732673,0.004072155442664677,0.9283848688583592
group_I_intron-IC1-Fsp.L798,2,0.015755466532566174,0.019922376237623763,-0.004166909705057589,0.9283848688583592
group_I_intron-IC1-Fsp.L798,3,0.01949443659805173,0.020703762376237625,-0.0012093257781858949,0.9283848688583592
group_I_intron-IC1-Fsp.L798,4,0.003241676248601771,0.0009687128712871284,0.0022729633773146424,0.9283848688583592
group_I_intron-IC1-Mle.S1506,1,0.023747610454062703,0.020183333333333334,0.0035642771207293686,0.9791891329772964
group_I_intron-IC1-Mle.S1506,2,0.015654295173286224,0.019533333333333337,-0.0038790381600471123,0.9791891329772964
group_I_intron-IC1-Mle.S1506,3,0.01943176158728375,0.02076666666666667,-0.0013349050793829177,0.9791891329772964
group_I_intron-IC1-Mle.S1506,4,0.0033690411586590543,0.0007999999999999984,0.0025690411586590557,0.9791891329772964
group_I_intron-IC1-Pst.L798,1,0.023466883338880043,0.01594097087378641,0.007525912465093633,0.9924760188869247
group_I_intron-IC1-Pst.L798,2,0.01598140554242223,0.022693592233009707,-0.006712186690587478,0.9924760188869247
group_I_intron-IC1-Pst.L798,3,0.019562645074931145,0.020618640776699025,-0.0010559957017678805,0.9924760188869247
group_I_intron-IC1-Pst.L798,4,0.003112719466184367,0.001384077669902915,0.001728641796281452,0.9924760188869247
group_I_intron-IE2-Tpa.S516-1,1,0.024115425331336423,0.021966244343891404,0.0021491809874450186,0.9009011629097379
group_I_intron-IE2-Tpa.S516-1,2,0.015360933522569573,0.018946968325791853,-0.0035860348032222805,0.9009011629097379
group_I_intron-IE2-Tpa.S516-1,3,0.019421505659681947,0.021713303167420813,-0.0022917975077388665,0.9009011629097379
group_I_intron-IE2-Tpa.S516-1,4,0.0033668155309032437,-0.0012999095022624442,0.004666725033165688,0.9009011629097379
group_I_intron-IE-Lin.S1199-3_p1,1,0.023989623036816253,0.025268181818181815,-0.0012785587813655616,0.9815272717294583
group_I_intron-IE-Lin.S1199-3_p1,2,0.015357241144686042,0.015529870129870131,-0.00017262898518408988,0.9815272717294583
group_I_intron-IE-Lin.S1199-3_p1,3,0.019300978014186808,0.020687012987012983,-0.001386034972826175,0.9815272717294583
group_I_intron-IE-Lin.S1199-3_p1,4,0.003627651064652417,0.0006389610389610394,0.0029886900256913774,0.9815272717294583
group_I_intron-IC1-Nsp.L1949,1,0.023490025792144674,0.01661753056234719,0.006872495229797482,0.993854379602107
group_I_intron-IC1-Nsp.L1949,2,0.015945407644828616,0.022154621026894864,-0.006209213382066248,0.993854379602107
group_I_intron-IC1-Nsp.L1949,3,0.019541086769275347,0.020600537897310513,-0.0010594511280351653,0.993854379602107
group_I_intron-IC1-Nsp.L1949,4,0.0031564293036391317,0.0013783863080684604,0.0017780429955706713,0.993854379602107
group_I_intron-IC1-Pla.S943,1,0.023326103839976874,0.018559889502762432,0.004766214337214442,0.9908902266740113
group_I_intron-IC1-Pla.S943,2,0.01606346701842534,0.01989436464088398,-0.00383089762245864,0.9908902266740113
group_I_intron-IC1-Pla.S943,3,0.019530537297331934,0.019698563535911602,-0.0001680262385796681,0.9908902266740113
group_I_intron-IC1-Pla.S943,4,0.003189124773982924,0.0031443093922651952,4.481538171772874e-05,0.9908902266740113
group_I_intron-IC3-Cpa.y.trnL-1_p1,1,0.021445145906547333,0.007828565737051794,0.013616580169495539,0.9360957526950562
group_I_intron-IC3-Cpa.y.trnL-1_p1,2,0.01779284527753618,0.025498167330677293,-0.007705322053141114,0.9360957526950562
group_I_intron-IC3-Cpa.y.trnL-1_p1,3,0.01985621943695221,0.01647418326693227,0.003382036170019937,0.9360957526950562
group_I_intron-IC3-Cpa.y.trnL-1_p1,4,0.002627594993064904,0.010597450199203187,-0.007969855206138281,0.9360957526950562
group_I_intron-IC1-Mfr.S943-2,1,0.023346711362757944,0.012745688073394497,0.010601023289363447,0.9975625808047099
group_I_intron-IC1-Mfr.S943-2,2,0.01615506435489407,0.02542165137614679,-0.009266587021252722,0.9975625808047099
group_I_intron-IC1-Mfr.S943-2,3,0.019658771834919483,0.02092183486238532,-0.001263063027465837,0.9975625808047099
group_I_intron-IC1-Mfr.S943-2,4,0.00291891638724896,0.0009544954128440367,0.001964420974404923,0.9975625808047099
group_I_intron-IE3-Xpo.S1199,1,0.02333195684114384,0.009351075268817203,0.013980881572326636,0.9849504335598643
group_I_intron-IE3-Xpo.S1199,2,0.016219317029132662,0.02838494623655914,-0.01216562920742648,0.9849504335598643
group_I_intron-IE3-Xpo.S1199,3,0.01972176123425248,0.02132150537634409,-0.0015997441420916095,0.9849504335598643
group_I_intron-IE3-Xpo.S1199,4,0.0027877937448806843,0.000335483870967741,0.0024523098739129435,0.9849504335598643
group_I_intron-IC1-Cmi.S1046-1,1,0.024209416782870898,0.025534716981132074,-0.0013253001982611763,0.8543116832833031
group_I_intron-IC1-Cmi.S1046-1,2,0.015206735701810876,0.016063773584905662,-0.0008570378830947863,0.8543116832833031
group_I_intron-IC1-Cmi.S1046-1,3,0.019324415751732243,0.021569622641509432,-0.002245206889777189,0.8543116832833031
group_I_intron-IC1-Cmi.S1046-1,4,0.0035643271797310434,-0.0012288679245282996,0.004793195104259343,0.8543116832833031
group_I_intron-IC1-Pfo.S943,1,0.02359260368024316,0.02539341772151899,-0.0018008140412758278,0.9948731457585958
group_I_intron-IC1-Pfo.S943,2,0.015710483121403454,0.014158987341772155,0.0015514957796312987,0.9948731457585958
group_I_intron-IC1-Pfo.S943,3,0.019355671734205486,0.01916810126582278,0.00018757046838270564,0.9948731457585958
group_I_intron-IC1-Pfo.S943,4,0.0035385848360050694,0.003815696202531646,-0.0002771113665265765,0.9948731457585958
group_I_intron-IE2-Sba.S516,1,0.0244374664773287,0.020412499999999997,0.004024966477328702,0.8084063377028624
group_I_intron-IE2-Sba.S516,2,0.015088800441581385,0.020762500000000003,-0.005673699558418618,0.8084063377028624
group_I_intron-IE2-Sba.S516,3,0.019394308044035063,0.022443749999999995,-0.003049441955964932,0.8084063377028624
group_I_intron-IE2-Sba.S516,4,0.0034030659413891422,-0.0027312499999999967,0.006134315941389139,0.8084063377028624
group_I_intron-IC1-Ceh.S1506-56,1,0.024153804710168803,0.022691606765327697,0.0014621979448411065,0.784000134478636
group_I_intron-IC1-Ceh.S1506-56,2,0.015303870913205784,0.019004566596194504,-0.0037006956829887198,0.784000134478636
group_I_intron-IC1-Ceh.S1506-56,3,0.019388896590516555,0.022451543340380548,-0.0030626467498639925,0.784000134478636
group_I_intron-IC1-Ceh.S1506-56,4,0.003432713296647947,-0.002894630021141647,0.006327343317789594,0.784000134478636
group_I_intron-IE-Mto.S1199_p10,1,0.024041360973067527,0.02431142857142857,-0.0002700675983610436,0.9326094432740429
group_I_intron-IE-Mto.S1199_p10,2,0.015350864917957228,0.01634326530612245,-0.0009924003881652214,0.9326094432740429
group_I_intron-IE-Mto.S1199_p10,3,0.01934113368501133,0.020773673469387754,-0.001432539784376425,0.9326094432740429
group_I_intron-IE-Mto.S1199_p10,4,0.003540115758971895,0.0005189795918367367,0.003021136167135158,0.9326094432740429
group_I_intron-IC1-Mpl.L798-1,1,0.023297036984265912,0.01262516129032258,0.010671875693943332,0.988674067661029
group_I_intron-IC1-Mpl.L798-1,2,0.016202112147480057,0.025470599078341014,-0.009268486930860957,0.988674067661029
group_I_intron-IC1-Mpl.L798-1,3,0.01966901400747167,0.0208689400921659,-0.0011999260846942278,0.988674067661029
group_I_intron-IC1-Mpl.L798-1,4,0.0029006456627680473,0.0010731797235023048,0.0018274659392657426,0.988674067661029
group_I_intron-IC1-Boc.S943-3,1,0.023774363327212885,0.02181363636363636,0.0019607269635765236,0.9674897832471766
group_I_intron-IC1-Boc.S943-3,2,0.015616444679834482,0.0179974025974026,-0.0023809579175681165,0.9674897832471766
group_I_intron-IC1-Boc.S943-3,3,0.019411327112614535,0.020440259740259738,-0.001028932627645203,0.9674897832471766
group_I_intron-IC1-Boc.S943-3,4,0.0034101616459880496,0.0013792207792207788,0.002030940866767271,0.9674897832471766
group_I_intron-IC1-Cli.S943-1,1,0.02390411120224724,0.02179756097560976,0.0021065502266374783,0.9995665672372739
group_I_intron-IC1-Cli.S943-1,2,0.015506761382276238,0.018473170731707313,-0.002966409349431076,0.9995665672372739
group_I_intron-IC1-Cli.S943-1,3,0.019400318142480645,0.020992682926829268,-0.0015923647843486231,0.9995665672372739
group_I_intron-IC1-Cli.S943-1,4,0.0034248741398149526,0.0002219512195121983,0.0032029229203027546,0.9995665672372739
group_I_intron-IE2-Pbr.S516,1,0.023810379786886115,0.021238557457212717,0.0025718223296733976,0.9704148619438634
group_I_intron-IE2-Pbr.S516,2,0.01559252948528046,0.018853887530562347,-0.0032613580452818865,0.9704148619438634
group_I_intron-IE2-Pbr.S516,3,0.019416058804960036,0.020930611246943766,-0.0015145524419837297,0.9704148619438634
group_I_intron-IE2-Pbr.S516,4,0.003397916713026636,0.00038816625916870593,0.00300975045385793,0.9704148619438634
group_I_intron-IC1-Sgr.S943,1,0.024019302960373023,0.02408670886075949,-6.740590038646632e-05,0.9786795546683024
group_I_intron-IC1-Sgr.S943,2,0.01536527044745506,0.016559493670886077,-0.001194223223431018,0.9786795546683024
group_I_intron-IC1-Sgr.S943,3,0.019337948266156126,0.020824050632911394,-0.001486102366755268,0.9786795546683024
group_I_intron-IC1-Sgr.S943,4,0.0035482179606163232,0.0004278481012658221,0.003120369859350501,0.9786795546683024
group_I_intron-IC1-Msc.S788-2,1,0.022637630231784202,0.014047152103559871,0.00859047812822433,0.9902235166124999
group_I_intron-IC1-Msc.S788-2,2,0.01671167707520335,0.022133462783171524,-0.005421785707968172,0.9902235166124999
group_I_intron-IC1-Msc.S788-2,3,0.019667889034389405,0.018202653721682845,0.0014652353127065608,0.9902235166124999
group_I_intron-IC1-Msc.S788-2,4,0.0029455468484232417,0.0065720388349514575,-0.003626491986528216,0.9902235166124999
group_I_intron-IC1-bas_sp.S943-3,1,0.023654474756710883,0.0179,0.005754474756710884,0.999735134381585
group_I_intron-IC1-bas_sp.S943-3,2,0.015786827077339582,0.021442857142857145,-0.005656030065517563,0.999735134381585
group_I_intron-IC1-bas_sp.S943-3,3,0.01950380898302261,0.020935714285714283,-0.0014319053026916745,0.999735134381585
group_I_intron-IC1-bas_sp.S943-3,4,0.0032239827932293097,0.0005928571428571452,0.0026311256503721648,0.999735134381585
group_I_intron-IC1-Cho_sp-4.S1046,1,0.024165271728476274,0.023810139211136894,0.0003551325173393807,0.9834435656222985
group_I_intron-IC1-Cho_sp-4.S1046,2,0.015225591641661242,0.017425614849187938,-0.002200023207526696,0.9834435656222985
group_I_intron-IC1-Cho_sp-4.S1046,3,0.019306148552881878,0.021601438515081207,-0.0022952899621993296,0.9834435656222985
group_I_intron-IC1-Cho_sp-4.S1046,4,0.0036054774388943585,-0.0011843155452436202,0.004789792984137979,0.9834435656222985
group_I_intron-IC1-Kap.S156,1,0.023923953952894185,0.019354110854503465,0.00456984309839072,0.9391242803475719
group_I_intron-IC1-Kap.S156,2,0.015538232973110445,0.020645635103926092,-0.005107402130815647,0.9391242803475719
group_I_intron-IC1-Kap.S156,3,0.019456158347534003,0.02132743648960739,-0.0018712781420733883,0.9391242803475719
group_I_intron-IC1-Kap.S156,4,0.00330650966143553,-0.000322309468822169,0.003628819130257699,0.9391242803475719
group_I_intron-IA3-Cni.cL2593,1,0.02227043928134677,0.007493750000000002,0.014776689281346766,0.9773071639226414
group_I_intron-IA3-Cni.cL2593,2,0.017208158809637726,0.02701875,-0.009810591190362275,0.9773071639226414
group_I_intron-IA3-Cni.cL2593,3,0.019920902532734288,0.017978124999999998,0.0019427775327342904,0.9773071639226414
group_I_intron-IA3-Cni.cL2593,4,0.0024387244132121847,0.007465624999999998,-0.005026900586787814,0.9773071639226414
group_I_intron-IC1-Mte.S516,1,0.023585445729554632,0.01924598984771574,0.004339455881838893,0.9912665719646241
group_I_intron-IC1-Mte.S516,2,0.015813390704969642,0.019998578680203046,-0.004185187975233404,0.9912665719646241
group_I_intron-IC1-Mte.S516,3,0.019471761898591143,0.02045614213197969,-0.000984380233388548,0.9912665719646241
group_I_intron-IC1-Mte.S516,4,0.0032956317784666534,0.0015115736040609152,0.0017840581744057382,0.9912665719646241
group_I_intron-IE1-Min.S516-1_p1,1,0.024097138087625595,0.03212363636363636,-0.008026498276010766,0.9919961187921204
group_I_intron-IE1-Min.S516-1_p1,2,0.015151140575277607,0.009203116883116882,0.005948023692160725,0.9919961187921204
group_I_intron-IE1-Min.S516-1_p1,3,0.019154487382177683,0.01947168831168831,-0.0003172009295106283,0.9919961187921204
group_I_intron-IE1-Min.S516-1_p1,4,0.003927872386554819,0.0027449350649350656,0.0011829373216197536,0.9919961187921204
group_I_intron-IC1-Asp-1.S891,1,0.02324590585170445,0.0130526213592233,0.01019328449248115,0.9899771229938176
group_I_intron-IC1-Asp-1.S891,2,0.016221169211013905,0.02475669902912621,-0.008535529818112304,0.9899771229938176
group_I_intron-IC1-Asp-1.S891,3,0.019644537922397603,0.020412330097087376,-0.0007677921746897728,0.9899771229938176
group_I_intron-IC1-Asp-1.S891,4,0.002955265269056356,0.002003009708737866,0.0009522555603184899,0.9899771229938176
group_I_intron-IC3-Ps_sp.b.trnL,1,0.022569858128649832,0.018221428571428572,0.00434842955722126,0.9917412105095058
group_I_intron-IC3-Ps_sp.b.trnL,2,0.01672746952098458,0.01796326530612245,-0.0012357957851378693,0.9917412105095058
group_I_intron-IC3-Ps_sp.b.trnL,3,0.019624159624542992,0.017083673469387755,0.0025404861551552374,0.9917412105095058
group_I_intron-IC3-Ps_sp.b.trnL,4,0.003041609940238896,0.008648979591836735,-0.005607369651597839,0.9917412105095058
group_I_intron-IC1-Pbr.S943,1,0.023862217747168065,0.02210522613065326,0.001756991616514804,0.9956895308161822
group_I_intron-IC1-Pbr.S943,2,0.015533929770530017,0.0180305527638191,-0.0024966229932890834,0.9956895308161822
group_I_intron-IC1-Pbr.S943,3,0.01939404033917169,0.020748944723618094,-0.0013549043844464058,0.9956895308161822
group_I_intron-IC1-Pbr.S943,4,0.0034407400793388444,0.0007131658291457295,0.002727574250193115,0.9956895308161822
group_I_intron-IC1-Co_sp-3.S943,1,0.02432181633677017,0.02589939759036145,-0.001577581253591278,0.9513227234576187
group_I_intron-IC1-Co_sp-3.S943,2,0.015069167743589545,0.015636144578313253,-0.0005669768347237071,0.9513227234576187
group_I_intron-IC1-Co_sp-3.S943,3,0.01926414585129845,0.021396385542168675,-0.0021322396908702267,0.9513227234576187
group_I_intron-IC1-Co_sp-3.S943,4,0.0036834479674858196,-0.000889156626506024,0.004572604593991844,0.9513227234576187
group_I_intron-IC1-Acy.S943,1,0.02373312863082202,0.020698190954773866,0.003034937676048153,0.9989788461692944
